Date,symbol,name,open,high,low,close,volume,vix,rsi,ma5,ma20,earnings_dday
2025-06-12,AAPL,애플,198.47602627663701,199.07419684911244,196.7612432530472,198.5956573486328,43904600,18.020000457763672,46.27071312226569,200.59357604980468,202.03219985961914,0
2025-06-13,AAPL,애플,199.12403626091725,199.76209396079906,195.1062640673262,195.85398864746094,51447300,20.81999969482422,52.302869947602446,199.10410766601564,201.28447570800782,0
2025-06-16,AAPL,애플,196.7014416228738,198.08722408394675,195.96368113091867,197.8180389404297,43020700,19.110000610351562,46.04857275879242,198.49994812011718,200.64442443847656,0
2025-06-17,AAPL,애플,196.60172782081946,197.7881200100286,194.61777485692886,195.0464630126953,38856200,21.600000381469727,40.52340058053126,197.0982177734375,199.98941802978516,0
2025-06-18,AAPL,애플,195.34553910938874,196.97059871241268,194.4781834746436,195.9835968017578,45394700,20.139999389648438,43.4409943586838,196.6595489501953,199.47697677612305,0
2025-06-20,AAPL,애플,197.63857663438114,201.08807102199273,196.2627584683704,200.39019775390625,96813500,20.6200008392334,50.25674667382064,197.01845703125,199.42264251708986,0
2025-06-23,AAPL,애플,201.01828233775666,201.686247808318,198.3563846401482,200.888671875,55814300,19.829999923706055,49.65348414427447,198.0253936767578,199.42962112426758,0
2025-06-24,AAPL,애플,201.9753521214132,202.82277936444737,199.59260382672892,199.6923065185547,54064000,17.479999542236328,44.787593347777246,198.4002471923828,199.68035736083985,0
2025-06-25,AAPL,애플,200.83883469818846,203.05210084338043,200.01135094007643,200.94850158691406,39525700,16.760000228881836,47.849822683828734,199.58065490722657,199.74765243530274,0
2025-06-26,AAPL,애플,200.81888589983927,202.025221644493,198.85487656411598,200.39019775390625,50799100,16.59000015258789,50.668573875007056,200.46197509765625,199.77656478881835,0
2025-06-27,AAPL,애플,201.2774955925489,202.60346239871808,199.39323017588663,200.46995544433594,73188600,16.31999969482422,44.19462039474467,200.4779266357422,199.83289337158203,0
2025-06-30,AAPL,애플,201.39712965217615,206.7608124915243,198.6554726965608,204.54754638671875,91912800,16.729999542236328,57.13189130947644,201.20970153808594,200.0482376098633,0
2025-07-01,AAPL,애플,206.04299395149746,209.55231908550664,205.51460310500556,207.18951416015625,78788900,16.829999923706055,59.36026366563779,202.70914306640626,200.35330963134766,0
2025-07-02,AAPL,애플,208.27621224418834,212.6927652029137,207.50854401160626,211.79550170898438,67941800,16.639999389648438,74.18550277867203,204.8785430908203,200.81041870117187,0
2025-07-03,AAPL,애플,211.5063683517463,213.9987837940836,211.16740350258758,212.90213012695312,34955800,16.3799991607666,74.80119923246583,207.38092956542968,201.3452911376953,0
2025-07-07,AAPL,애플,212.03474730839852,215.57398008038285,208.16652910348648,209.3130340576172,50229000,17.790000915527344,72.66616505957099,209.14954528808593,201.80987625122071,0
2025-07-08,AAPL,애플,209.46258702266434,210.78853856973336,207.81758380403343,209.3728485107422,42848900,16.809999465942383,70.79288283588237,210.11460571289064,202.1134521484375,0
2025-07-09,AAPL,애플,208.89430414855983,210.68884615759353,206.5913149088396,210.49942016601562,48749400,15.9399995803833,79.55751504690501,210.7765869140625,202.5964813232422,0
2025-07-10,AAPL,애플,209.87133445003573,212.83232507172787,209.39279496736208,211.7655792236328,44443600,15.779999732971191,79.81162225760445,210.77060241699218,203.08200454711914,0
